"LOCATION","Country","TL","Territory level","GEO","Geography","VAR","Variable","TIME","Time","Value","Flag Codes","Flags"
"JPN","Japan","CITY","City","JPN01C","Tokyo","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.1,,
"NLD","Netherlands","CITY","City","NL015C","Enschede","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.7,,
"MEX","Mexico","CITY","City","MEX53C","Chilpancingo de los Bravo","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.3,,
"USA","United States","CITY","City","USA197C","Washington (MD)","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",8,,
"FRA","France","CITY","City","FR017C","Reims","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.4,,
"POL","Poland","CITY","City","PL043C","Pabianice","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",23,,
"NLD","Netherlands","CITY","City","NL044C","Venlo","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.6,,
"AUS","Australia","CITY","City","AUS05C","Greater Adelaide","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",6.8,,
"LVA","Latvia","CITY","City","LV003C","Jelgava","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",12.7,,
"FRA","France","CITY","City","FR014C","Cannes-Antibes","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.5,,
"GBR","United Kingdom","CITY","City","UK592C","Tamworth","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.6,,
"JPN","Japan","CITY","City","JPN18C","Oita","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",13.5,,
"SVK","Slovak Republic","CITY","City","SK001C","Bratislava","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",14.4,,
"CHL","Chile","CITY","City","CL024C","Osorno","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",38.9,,
"BEL","Belgium","CITY","City","BE008C","Leuven","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",10.9,,
"DEU","Germany","CITY","City","DE031C","Augsburg","PWM_EX","Mean population exposure to PM2.5 air pollution","2019","2019",11.8,,
